Time,P CE ST1  Discharge pressure CA Seg.1 [psia]
12/22/2010 7:32:36 AM,-1.#QNAN
12/23/2010 1:03:48 AM,-1.#QNAN
12/23/2010 6:35:00 PM,-1.#QNAN
12/24/2010 12:06:12 PM,-1.#QNAN
12/25/2010 5:37:24 AM,-1.#QNAN
12/25/2010 11:08:36 PM,-1.#QNAN
12/26/2010 4:39:48 PM,-1.#QNAN
12/27/2010 10:11:00 AM,-1.#QNAN
12/28/2010 3:42:12 AM,-1.#QNAN
12/28/2010 9:13:24 PM,-1.#QNAN
12/29/2010 2:44:36 PM,-1.#QNAN
12/30/2010 8:15:48 AM,-1.#QNAN
12/31/2010 1:47:00 AM,-1.#QNAN
12/31/2010 7:18:12 PM,-1.#QNAN
1/1/2011 12:49:24 PM,-1.#QNAN
1/2/2011 6:20:36 AM,-1.#QNAN
1/2/2011 11:51:48 PM,-1.#QNAN
1/3/2011 5:23:00 PM,-1.#QNAN
1/4/2011 10:54:12 AM,-1.#QNAN
1/5/2011 4:25:24 AM,-1.#QNAN
1/5/2011 9:56:36 PM,-1.#QNAN
1/6/2011 3:27:48 PM,-1.#QNAN
1/7/2011 8:59:00 AM,-1.#QNAN
1/8/2011 2:30:12 AM,-1.#QNAN
1/8/2011 8:01:24 PM,-1.#QNAN
1/9/2011 1:32:36 PM,-1.#QNAN
1/10/2011 7:03:48 AM,-1.#QNAN
1/11/2011 12:35:00 AM,-1.#QNAN
1/11/2011 6:06:12 PM,-1.#QNAN
1/12/2011 11:37:24 AM,-1.#QNAN
1/13/2011 5:08:36 AM,-1.#QNAN
1/13/2011 10:39:48 PM,-1.#QNAN
1/14/2011 4:11:00 PM,-1.#QNAN
1/15/2011 9:42:12 AM,-1.#QNAN
1/16/2011 3:13:24 AM,-1.#QNAN
1/16/2011 8:44:36 PM,-1.#QNAN
1/17/2011 2:15:48 PM,-1.#QNAN
1/18/2011 7:47:00 AM,-1.#QNAN
1/19/2011 1:18:12 AM,-1.#QNAN
1/19/2011 6:49:24 PM,-1.#QNAN
1/20/2011 12:20:36 PM,-1.#QNAN
1/21/2011 5:51:48 AM,-1.#QNAN
1/21/2011 11:23:00 PM,-1.#QNAN
1/22/2011 4:54:12 PM,-1.#QNAN
1/23/2011 10:25:24 AM,-1.#QNAN
1/24/2011 3:56:36 AM,-1.#QNAN
1/24/2011 9:27:48 PM,-1.#QNAN
1/25/2011 2:59:00 PM,-1.#QNAN
1/26/2011 8:30:12 AM,-1.#QNAN
1/27/2011 2:01:24 AM,-1.#QNAN
1/27/2011 7:32:36 PM,-1.#QNAN
1/28/2011 1:03:48 PM,-1.#QNAN
1/29/2011 6:35:00 AM,-1.#QNAN
1/30/2011 12:06:12 AM,-1.#QNAN
1/30/2011 5:37:24 PM,-1.#QNAN
1/31/2011 11:08:36 AM,-1.#QNAN
2/1/2011 4:39:48 AM,-1.#QNAN
2/1/2011 10:11:00 PM,-1.#QNAN
2/2/2011 3:42:12 PM,-1.#QNAN
2/3/2011 9:13:24 AM,-1.#QNAN
2/4/2011 2:44:36 AM,-1.#QNAN
2/4/2011 8:15:48 PM,-1.#QNAN
2/5/2011 1:47:00 PM,-1.#QNAN
2/6/2011 7:18:12 AM,-1.#QNAN
2/7/2011 12:49:24 AM,-1.#QNAN
2/7/2011 6:20:36 PM,-1.#QNAN
2/8/2011 11:51:48 AM,-1.#QNAN
2/9/2011 5:23:00 AM,-1.#QNAN
2/9/2011 10:54:12 PM,-1.#QNAN
2/10/2011 4:25:24 PM,-1.#QNAN
2/11/2011 9:56:36 AM,-1.#QNAN
2/12/2011 3:27:48 AM,-1.#QNAN
2/12/2011 8:59:00 PM,-1.#QNAN
2/13/2011 2:30:12 PM,-1.#QNAN
2/14/2011 8:01:24 AM,-1.#QNAN
2/15/2011 1:32:36 AM,-1.#QNAN
2/15/2011 7:03:48 PM,-1.#QNAN
2/16/2011 12:35:00 PM,-1.#QNAN
2/17/2011 6:06:12 AM,-1.#QNAN
2/17/2011 11:37:24 PM,-1.#QNAN
2/18/2011 5:08:36 PM,-1.#QNAN
2/19/2011 10:39:48 AM,-1.#QNAN
2/20/2011 4:11:00 AM,-1.#QNAN
2/20/2011 9:42:12 PM,-1.#QNAN
2/21/2011 3:13:24 PM,-1.#QNAN
2/22/2011 8:44:36 AM,-1.#QNAN
2/23/2011 2:15:48 AM,-1.#QNAN
2/23/2011 7:47:00 PM,-1.#QNAN
2/24/2011 1:18:12 PM,-1.#QNAN
2/25/2011 6:49:24 AM,-1.#QNAN
2/26/2011 12:20:36 AM,-1.#QNAN
2/26/2011 5:51:48 PM,-1.#QNAN
2/27/2011 11:23:00 AM,-1.#QNAN
2/28/2011 4:54:12 AM,-1.#QNAN
2/28/2011 10:25:24 PM,0
3/1/2011 3:56:36 PM,-1.#QNAN
3/2/2011 9:27:48 AM,52.73
3/3/2011 2:59:00 AM,53.34
3/3/2011 8:30:12 PM,53.13
3/4/2011 2:01:24 PM,52.98
3/5/2011 7:32:36 AM,53.43
3/6/2011 1:03:48 AM,53.60
3/6/2011 6:35:00 PM,53.95
3/7/2011 12:06:12 PM,53.93
3/8/2011 5:37:24 AM,53.45
3/8/2011 11:08:36 PM,53.73
3/9/2011 4:39:48 PM,54.20
3/10/2011 10:11:00 AM,53.85
3/11/2011 3:42:12 AM,53.31
3/11/2011 9:13:24 PM,53.09
3/12/2011 2:44:36 PM,52.83
3/13/2011 9:15:48 AM,-1.#QNAN
3/14/2011 2:47:00 AM,53.33
3/14/2011 8:18:12 PM,53.92
3/15/2011 1:49:24 PM,53.57
3/16/2011 7:20:36 AM,53.41
3/17/2011 12:51:48 AM,54.30
3/17/2011 6:23:00 PM,55.14
3/18/2011 11:54:12 AM,36.32
3/19/2011 5:25:24 AM,30.28
3/19/2011 10:56:36 PM,29.62
3/20/2011 4:27:48 PM,26.04
3/21/2011 9:59:00 AM,14.28
3/22/2011 3:30:12 AM,16.69
3/22/2011 9:01:24 PM,16.66
3/23/2011 2:32:36 PM,16.83
3/24/2011 8:03:48 AM,16.61
3/25/2011 1:35:00 AM,15.37
3/25/2011 7:06:12 PM,16.41
3/26/2011 12:37:24 PM,13.18
3/27/2011 6:08:36 AM,23.86
3/27/2011 11:39:48 PM,16.37
3/28/2011 5:11:00 PM,11.74
3/29/2011 10:42:12 AM,11.57
3/30/2011 4:13:24 AM,11.87
3/30/2011 9:44:36 PM,12.05
3/31/2011 3:15:48 PM,11.76
4/1/2011 8:47:00 AM,11.40
4/2/2011 2:18:12 AM,20.66
4/2/2011 7:49:24 PM,20.11
4/3/2011 1:20:36 PM,19.72
4/4/2011 6:51:48 AM,13.00
4/5/2011 12:23:00 AM,14.63
